"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048666","neuron development","35/173","1104/18723",1.07691301234963e-10,1.96379482652802e-07,1.62623997115379e-07,"4009/11075/3371/5396/57556/26227/7804/816/3798/1641/10938/4884/7345/4744/6860/1000/54437/92211/8609/482/9742/3670/27242/150465/6469/10152/81565/5015/4685/23768/8437/50944/9334/10512/66008",35
"GO:0030182","neuron differentiation","39/173","1363/18723",1.5642257617582e-10,1.96379482652802e-07,1.62623997115379e-07,"23462/4009/11075/3371/5396/57556/26508/26227/7804/816/3798/1641/10938/4884/7345/3714/4744/6860/1000/54437/92211/8609/482/9742/3670/27242/150465/6469/10152/81565/5015/4685/23768/8437/50944/9334/10512/66008/204851",39
"GO:0031175","neuron projection development","32/173","963/18723",2.41664689854235e-10,1.96379482652802e-07,1.62623997115379e-07,"4009/11075/3371/5396/57556/26227/7804/816/3798/10938/4884/7345/4744/6860/1000/54437/8609/482/3670/27242/150465/6469/10152/81565/5015/4685/23768/8437/50944/9334/10512/66008",32
"GO:0048699","generation of neurons","41/173","1514/18723",2.53474646857441e-10,1.96379482652802e-07,1.62623997115379e-07,"23462/4009/11075/3371/5396/57556/26508/26227/7804/816/3798/1641/10938/4884/7345/3714/4744/6860/1000/285313/54437/1021/92211/8609/482/9742/3670/27242/150465/6469/10152/81565/5015/4685/23768/8437/50944/9334/10512/66008/204851",41
"GO:0048858","cell projection morphogenesis","25/173","634/18723",9.24652671291556e-10,5.73099725666506e-07,4.74590150022908e-07,"4009/57556/7804/816/3798/4884/7345/4744/6860/1000/54437/8609/3670/150465/6469/10152/81565/5015/23768/8437/50944/9334/10763/10512/66008",25
"GO:0048667","cell morphogenesis involved in neuron differentiation","23/173","544/18723",1.2315701705835e-09,6.36105993106376e-07,5.26766329102204e-07,"4009/57556/7804/816/3798/4884/7345/4744/1000/54437/92211/8609/3670/150465/6469/10152/81565/5015/23768/50944/9334/10512/66008",23
"GO:0032990","cell part morphogenesis","25/173","652/18723",1.63914967455968e-09,7.25674977351492e-07,6.00939384447594e-07,"4009/57556/7804/816/3798/4884/7345/4744/6860/1000/54437/8609/3670/150465/6469/10152/81565/5015/23768/8437/50944/9334/10763/10512/66008",25
"GO:0061564","axon development","21/173","467/18723",2.3118670180124e-09,7.88947339602947e-07,6.53335919550274e-07,"4009/3371/57556/3798/4884/7345/4744/1000/54437/8609/3670/27242/150465/6469/81565/5015/4685/23768/9334/10512/66008",21
"GO:0022008","neurogenesis","41/173","1632/18723",2.37457659138935e-09,7.88947339602947e-07,6.53335919550274e-07,"23462/4009/11075/3371/5396/57556/26508/26227/7804/816/3798/1641/10938/4884/7345/3714/4744/6860/1000/285313/54437/1021/92211/8609/482/9742/3670/27242/150465/6469/10152/81565/5015/4685/23768/8437/50944/9334/10512/66008/204851",41
"GO:0048812","neuron projection morphogenesis","24/173","615/18723",2.54581264796046e-09,7.88947339602947e-07,6.53335919550274e-07,"4009/57556/7804/816/3798/4884/7345/4744/6860/1000/54437/8609/3670/150465/6469/10152/81565/5015/23768/8437/50944/9334/10512/66008",24
"GO:0120039","plasma membrane bounded cell projection morphogenesis","24/173","630/18723",4.07968554199201e-09,1.14935868133029e-06,9.5179649295469e-07,"4009/57556/7804/816/3798/4884/7345/4744/6860/1000/54437/8609/3670/150465/6469/10152/81565/5015/23768/8437/50944/9334/10512/66008",24
"GO:0032989","cellular component morphogenesis","26/173","744/18723",5.19076706919519e-09,1.34051559561966e-06,1.11009562409631e-06,"4009/57556/7804/816/3798/4884/7345/4744/6860/1000/84033/54437/8609/3670/150465/6469/10152/81565/5015/23768/8437/50944/9334/10763/10512/66008",26
"GO:0000904","cell morphogenesis involved in differentiation","25/173","694/18723",5.78098274950552e-09,1.37809734928597e-06,1.141217485287e-06,"4009/57556/7804/8516/816/3798/4884/7345/4744/1000/54437/92211/8609/3670/150465/6469/10152/81565/6781/5015/23768/50944/9334/10512/66008",25
"GO:0051049","regulation of transport","41/173","1759/18723",2.05315602588299e-08,4.54480751729384e-06,3.76360480534039e-06,"9094/27230/10105/9783/6329/8912/55638/610/816/23704/10938/5743/5608/4744/2922/6860/6334/1000/7114/3728/5901/8609/482/91543/1909/3670/775/23208/1143/6469/3778/81565/6781/9846/388581/7323/6262/50944/773/2149/124930",41
"GO:0000902","cell morphogenesis","29/173","988/18723",3.00628111499295e-08,6.21097678357543e-06,5.1433777953353e-06,"4009/57556/7804/8516/816/3798/4884/7345/4744/6860/1000/54437/92211/8609/3670/150465/6469/10152/81565/6781/5015/23768/8437/50944/9334/10763/10512/3988/66008",29
