"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044092","negative regulation of molecular function","12/42","1168/18723",6.31254621823687e-06,0.00996845278812788,0.0076042206167744,"1050/8826/3164/10105/9097/1654/1266/9943/3162/23462/56882/308",12
"GO:0071243","cellular response to arsenic-containing substance","3/42","20/18723",1.1652041420088e-05,0.00996845278812788,0.0076042206167744,"10105/1654/3162",3
"GO:0048514","blood vessel morphogenesis","9/42","686/18723",1.7011011583836e-05,0.00996845278812788,0.0076042206167744,"388/5396/4627/3688/10163/8879/3164/3162/23462",9
"GO:0001568","blood vessel development","9/42","764/18723",3.97191415582524e-05,0.0110980938649572,0.00846594310757165,"388/5396/4627/3688/10163/8879/3164/3162/23462",9
"GO:0072359","circulatory system development","11/42","1179/18723",4.11871450084981e-05,0.0110980938649572,0.00846594310757165,"388/5396/4627/3688/10163/11149/1832/8879/3164/3162/23462",11
"GO:0043086","negative regulation of catalytic activity","9/42","791/18723",5.20457448079351e-05,0.0110980938649572,0.00846594310757165,"1050/8826/3164/10105/9097/1654/1266/56882/308",9
"GO:0046685","response to arsenic-containing substance","3/42","33/18723",5.46456594669224e-05,0.0110980938649572,0.00846594310757165,"10105/1654/3162",3
"GO:0030029","actin filament-based process","9/42","798/18723",5.57252494276713e-05,0.0110980938649572,0.00846594310757165,"388/4627/3688/7094/8826/10163/1832/1266/2885",9
"GO:0001944","vasculature development","9/42","800/18723",5.68161801960264e-05,0.0110980938649572,0.00846594310757165,"388/5396/4627/3688/10163/8879/3164/3162/23462",9
"GO:0061061","muscle structure development","8/42","636/18723",7.20524298527393e-05,0.0126668171681116,0.00966261006656736,"4627/8763/3688/5725/11149/1832/3164/23462",8
"GO:0001667","ameboidal-type cell migration","7/42","475/18723",8.09178394252314e-05,0.0129321419735961,0.00986500740935357,"388/4627/3688/10163/8879/3164/3162",7
"GO:0035295","tube development","10/42","1113/18723",0.000135721869636664,0.0180186705882506,0.0137451567747029,"388/5396/4627/3688/1050/10163/8879/3164/3162/23462",10
"GO:0009888","tissue development","13/42","1870/18723",0.000149740997488337,0.0180186705882506,0.0137451567747029,"388/22856/5396/3688/8826/11149/1832/3164/4097/1266/23462/7296/2885",13
"GO:0001701","in utero embryonic development","6/42","367/18723",0.000157358586635256,0.0180186705882506,0.0137451567747029,"4627/3688/1050/4097/23462/2885",6
"GO:0030036","actin cytoskeleton organization","8/42","712/18723",0.000157629121611172,0.0180186705882506,0.0137451567747029,"388/4627/3688/7094/8826/10163/1266/2885",8
