run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community
1	21	C1QTNF12	0.05	0.0	0.05	0.010526315789473684	1
1	21	HSPA12A	0.05	0.005263157894736842	0.05	0.02894736842105263	1
1	21	TMEM52	0.15000000000000002	0.005263157894736842	0.25	0.018421052631578946	0
1	21	OTOF	0.0	0.0	0.0	0.0	0
1	21	ANOS1	0.05	0.0	0.05	0.0	1
1	21	ATP9A	0.05	0.0	0.05	0.0	4
1	21	RYR2	0.15000000000000002	0.010526315789473684	0.2	0.07105263157894737	4
1	21	H2BC21	0.05	0.0	0.05	0.0	0
1	21	OIP5-AS1	0.05	0.0	0.05	0.0	3
1	21	CACNA1C	0.05	0.002631578947368421	0.1	0.04736842105263158	3
1	21	NOL4L	0.05	0.002631578947368421	0.05	0.007894736842105263	2
1	21	ATP1B2	0.0	0.0	0.0	0.0	2
1	21	LSAMP	0.0	0.0	0.0	0.0	4
1	21	TMEM130	0.05	0.0	0.05	0.0	1
1	21	NCAM2	0.05	0.0	0.05	0.0	3
1	21	IGSF10	0.05	0.0	0.05	0.0	4
1	21	DRP2	0.1	0.0	0.1	0.0	2
1	21	IGFBPL1	0.0	0.0	0.0	0.0	2
1	21	GABRD	0.1	0.0	0.15000000000000002	0.0	3
1	21	PENK	0.0	0.0	0.0	0.0	0
1	21	GRP	0.05	0.0	0.05	0.0	0
1	58	C1QTNF12	0.05263157894736842	0.002819548872180451	0.07017543859649122	0.040100250626566414	4
1	58	HSPA12A	0.03508771929824561	0.003132832080200501	0.10526315789473684	0.045426065162907266	4
1	58	TMEM52	0.14035087719298245	0.006578947368421052	0.15789473684210525	0.02882205513784461	2
1	58	OTOF	0.08771929824561403	0.0018796992481203006	0.10526315789473684	0.010964912280701754	2
1	58	MT1F	0.07017543859649122	0.0018796992481203006	0.07017543859649122	0.0018796992481203006	3
1	58	FKBP4	0.03508771929824561	0.0012531328320802004	0.03508771929824561	0.0043859649122807015	3
1	58	ANOS1	0.017543859649122806	0.0	0.03508771929824561	0.0	4
1	58	RGS3	0.0	0.0	0.0	0.0	3
1	58	KANK4	0.017543859649122806	0.0	0.017543859649122806	0.0	3
1	58	ATP9A	0.05263157894736842	0.003446115288220551	0.05263157894736842	0.013471177944862155	0
1	58	RYR2	0.08771929824561403	0.014411027568922305	0.10526315789473684	0.03446115288220551	0
1	58	ZDHHC22	0.07017543859649122	0.0043859649122807015	0.08771929824561403	0.009085213032581453	1
1	58	DLX3	0.05263157894736842	0.004072681704260651	0.05263157894736842	0.008771929824561403	1
1	58	H2BC21	0.017543859649122806	0.0	0.017543859649122806	0.0	2
1	58	OIP5-AS1	0.05263157894736842	0.006892230576441102	0.05263157894736842	0.012531328320802004	0
1	58	CACNA1C	0.07017543859649122	0.005639097744360902	0.08771929824561403	0.023182957393483708	0
1	58	NOL4L	0.017543859649122806	0.0018796992481203006	0.017543859649122806	0.0018796992481203006	2
1	58	ATP1B2	0.0	0.0	0.0	0.0	2
1	58	LSAMP	0.017543859649122806	0.003132832080200501	0.017543859649122806	0.005325814536340852	0
1	58	TMEM130	0.017543859649122806	0.0	0.017543859649122806	0.0	4
1	58	NCAM2	0.03508771929824561	0.006892230576441102	0.03508771929824561	0.009085213032581453	0
1	58	IGSF10	0.05263157894736842	0.0021929824561403508	0.05263157894736842	0.002819548872180451	0
1	58	DRP2	0.03508771929824561	0.0	0.03508771929824561	0.0	2
1	58	IGFBPL1	0.0	0.0	0.0	0.0	2
1	58	GABRD	0.08771929824561403	0.009398496240601503	0.08771929824561403	0.011591478696741854	0
1	58	PENK	0.0	0.0	0.0	0.0	2
1	58	MIAT	0.017543859649122806	0.0	0.017543859649122806	0.0	1
1	58	CIT	0.03508771929824561	0.0018796992481203006	0.03508771929824561	0.003446115288220551	1
1	58	GRP	0.05263157894736842	0.0006265664160401002	0.05263157894736842	0.0015664160401002505	2
1	58	COTL1	0.017543859649122806	0.0009398496240601503	0.017543859649122806	0.0009398496240601503	1
1	58	RGS12	0.05263157894736842	0.0043859649122807015	0.08771929824561403	0.013157894736842105	1
1	58	ABI2	0.017543859649122806	0.0012531328320802004	0.017543859649122806	0.006892230576441102	4
1	58	CDK6	0.0	0.0	0.0	0.0	4
1	58	TIMP3	0.017543859649122806	0.0	0.017543859649122806	0.0	5
1	58	SYT6	0.0	0.0	0.0	0.0	5
1	58	CDH15	0.05263157894736842	0.0	0.05263157894736842	0.0	1
1	58	USP20	0.03508771929824561	0.0006265664160401002	0.03508771929824561	0.0006265664160401002	1
1	58	RNASE1	0.0	0.0	0.0	0.0	3
1	58	NR1D1	0.017543859649122806	0.0	0.017543859649122806	0.005639097744360902	3
1	58	ELFN2	0.017543859649122806	0.0003132832080200501	0.017543859649122806	0.003132832080200501	3
1	58	SYT4	0.017543859649122806	0.0	0.017543859649122806	0.0	0
1	58	SHB	0.0	0.0	0.0	0.0	1
1	58	CLSTN2	0.0	0.0	0.0	0.0	2
1	58	ADAMTS17	0.0	0.0	0.0	0.0	4
1	58	NSMF	0.0	0.0	0.0	0.0	1
1	58	SH3RF3	0.0	0.0	0.0	0.0	3
1	58	PHEX	0.0	0.0	0.0	0.0	2
1	58	CPE	0.03508771929824561	0.0	0.03508771929824561	0.0	0
1	58	NKD1	0.017543859649122806	0.0	0.017543859649122806	0.002819548872180451	5
1	58	IQSEC1	0.017543859649122806	0.0	0.017543859649122806	0.0	1
1	58	EPHA4	0.05263157894736842	0.0	0.05263157894736842	0.0	2
1	58	GRIA1	0.03508771929824561	0.0037593984962406013	0.03508771929824561	0.006578947368421052	0
1	58	KCNMA1	0.0	0.0	0.0	0.0	0
1	58	NEGR1	0.017543859649122806	0.0	0.017543859649122806	0.0	0
1	58	DOCK3	0.017543859649122806	0.0	0.017543859649122806	0.0	0
1	58	RBP1	0.017543859649122806	0.0	0.017543859649122806	0.0	1
1	58	SERPINE1	0.0	0.0	0.0	0.0	2
1	58	PTPRU	0.0	0.0	0.0	0.0	1
1	100	SERPINF1	0.030303030303030304	0.0026798598227169654	0.030303030303030304	0.006596578025149453	1
1	100	CROCC2	0.04040404040404041	0.0036075036075036075	0.04040404040404041	0.014739229024943309	1
1	100	C1QTNF12	0.05050505050505051	0.002989074417645846	0.06060606060606061	0.026283240568954855	3
1	100	HSPA12A	0.05050505050505051	0.005462791177076891	0.09090909090909091	0.043186971758400326	3
1	100	TMEM52	0.06060606060606061	0.0010307153164296021	0.09090909090909091	0.01525458668315811	4
1	100	OTOF	0.06060606060606061	0.0010307153164296021	0.08080808080808081	0.00989486703772418	4
1	100	MT1F	0.04040404040404041	0.0007215007215007215	0.04040404040404041	0.002576788291074005	5
1	100	FKBP4	0.04040404040404041	0.0016491445062873633	0.04040404040404041	0.012780869923727066	5
1	100	ANOS1	0.010101010101010102	0.0	0.020202020202020204	0.0	3
1	100	RGS3	0.0	0.0	0.0	0.0	5
1	100	KANK4	0.010101010101010102	0.0	0.010101010101010102	0.0	5
1	100	ATP9A	0.030303030303030304	0.0017522160379303236	0.030303030303030304	0.0070088641517212944	0
1	100	RYR2	0.05050505050505051	0.005256648113790971	0.06060606060606061	0.018965161822304677	0
1	100	ZDHHC22	0.04040404040404041	0.0045351473922902496	0.05050505050505051	0.01999587713873428	2
1	100	DLX3	0.030303030303030304	0.0018552875695732837	0.030303030303030304	0.008245722531436817	2
1	100	H2BC21	0.010101010101010102	0.0	0.010101010101010102	0.0	4
1	100	OIP5-AS1	0.04040404040404041	0.003916718202432488	0.04040404040404041	0.008348794063079777	0
1	100	CACNA1C	0.04040404040404041	0.0032982890125747267	0.05050505050505051	0.01834673263244692	0
1	100	NOL4L	0.020202020202020204	0.002886002886002886	0.020202020202020204	0.01020408163265306	3
1	100	ATP1B2	0.020202020202020204	0.001546072974644403	0.020202020202020204	0.010925582354153782	3
1	100	LSAMP	0.020202020202020204	0.001958359101216244	0.020202020202020204	0.0035044320758606472	0
1	100	TMEM130	0.010101010101010102	0.0027829313543599257	0.010101010101010102	0.009070294784580499	3
1	100	NCAM2	0.030303030303030304	0.006184291898577612	0.030303030303030304	0.012265512265512264	0
1	100	CTSB	0.020202020202020204	0.0	0.020202020202020204	0.0	7
1	100	APLP2	0.0	0.0	0.010101010101010102	0.0031952174809317664	7
1	100	IGSF10	0.030303030303030304	0.0012368583797155224	0.030303030303030304	0.0018552875695732837	0
1	100	DRP2	0.030303030303030304	0.0012368583797155224	0.030303030303030304	0.005359719645433931	3
1	100	IGFBPL1	0.0	0.0	0.0	0.0	3
1	100	GABRD	0.06060606060606061	0.0048443619872191295	0.06060606060606061	0.0077303648732220155	0
1	100	PENK	0.0	0.0	0.0	0.0	4
1	100	MIAT	0.010101010101010102	0.0011337868480725624	0.010101010101010102	0.016285301999587713	2
1	100	CIT	0.04040404040404041	0.0010307153164296021	0.05050505050505051	0.03267367553081839	2
1	100	GRP	0.030303030303030304	0.0009276437847866418	0.030303030303030304	0.005462791177076891	4
1	100	COTL1	0.04040404040404041	0.0031952174809317664	0.04040404040404041	0.018449804164089877	2
1	100	RGS12	0.04040404040404041	0.005875077303648732	0.05050505050505051	0.023912595341166767	2
1	100	ABI2	0.010101010101010102	0.0007215007215007215	0.010101010101010102	0.003092145949288806	3
1	100	CDK6	0.0	0.0	0.0	0.0	3
1	100	TIMP3	0.010101010101010102	0.0	0.010101010101010102	0.0	2
1	100	SYT6	0.010101010101010102	0.001958359101216244	0.010101010101010102	0.012574726860441145	2
1	100	TMEM132B	0.030303030303030304	0.004225932797361369	0.030303030303030304	0.023191094619666047	1
1	100	RARRES2	0.04040404040404041	0.006596578025149453	0.05050505050505051	0.03411667697381983	1
1	100	CDH15	0.030303030303030304	0.0	0.030303030303030304	0.0	2
1	100	USP20	0.030303030303030304	0.0003092145949288806	0.030303030303030304	0.0003092145949288806	2
1	100	VIM	0.010101010101010102	0.00020614306328592042	0.010101010101010102	0.00020614306328592042	7
1	100	PFKFB3	0.010101010101010102	0.0	0.010101010101010102	0.0	7
1	100	RNASE1	0.010101010101010102	0.0008245722531436817	0.010101010101010102	0.013193156050298907	5
1	100	NR1D1	0.010101010101010102	0.0	0.010101010101010102	0.018552875695732836	5
1	100	ELFN2	0.010101010101010102	0.0006184291898577612	0.010101010101010102	0.016079158936301793	5
1	100	SYT4	0.010101010101010102	0.0	0.010101010101010102	0.0	0
1	100	COL12A1	0.010101010101010102	0.0006184291898577612	0.010101010101010102	0.0006184291898577612	6
1	100	TTC3	0.020202020202020204	0.0006184291898577612	0.020202020202020204	0.0006184291898577612	6
1	100	CD44	0.020202020202020204	0.0	0.020202020202020204	0.0	1
1	100	IGSF8	0.010101010101010102	0.0	0.010101010101010102	0.0	1
1	100	SHB	0.0	0.0	0.0	0.0	2
1	100	CLSTN2	0.0	0.0	0.010101010101010102	0.0022675736961451248	4
1	100	ACTN3	0.020202020202020204	0.002989074417645846	0.020202020202020204	0.02422180993609565	1
1	100	ADAMTS17	0.0	0.0	0.0	0.0	3
1	100	ARHGEF12	0.010101010101010102	0.00041228612657184083	0.010101010101010102	0.00041228612657184083	6
1	100	NSMF	0.0	0.0	0.0	0.0	2
1	100	SPEG	0.020202020202020204	0.0	0.020202020202020204	0.0	1
1	100	BMP7	0.0	0.0	0.0	0.0	1
1	100	TNNT2	0.010101010101010102	0.0	0.010101010101010102	0.0	1
1	100	STC2	0.020202020202020204	0.0018552875695732837	0.020202020202020204	0.005772005772005772	1
1	100	SH3RF3	0.0	0.0	0.0	0.0	5
1	100	SNHG29	0.010101010101010102	0.0012368583797155224	0.010101010101010102	0.003092145949288806	1
1	100	CA9	0.0	0.0	0.0	0.0	1
1	100	PHEX	0.010101010101010102	0.0	0.010101010101010102	0.0	4
1	100	CPE	0.020202020202020204	0.0	0.020202020202020204	0.0	0
1	100	TPT1	0.010101010101010102	0.00041228612657184083	0.020202020202020204	0.0036075036075036075	6
1	100	NKD1	0.030303030303030304	0.003092145949288806	0.030303030303030304	0.026901669758812613	2
1	100	IQSEC1	0.010101010101010102	0.0	0.010101010101010102	0.0	2
1	100	EPHA4	0.030303030303030304	0.0	0.030303030303030304	0.0	4
1	100	SLC6A6	0.0	0.0	0.010101010101010102	0.01504844361987219	1
1	100	GRIA1	0.020202020202020204	0.001546072974644403	0.020202020202020204	0.002989074417645846	0
1	100	KCNMA1	0.0	0.0	0.0	0.0	0
1	100	NEGR1	0.010101010101010102	0.0	0.010101010101010102	0.0	0
1	100	DOCK3	0.010101010101010102	0.0	0.010101010101010102	0.0	0
1	100	RBP1	0.010101010101010102	0.0	0.010101010101010102	0.0	2
1	100	SERPINE1	0.0	0.0	0.0	0.0	4
1	100	DAZL	0.010101010101010102	0.0	0.010101010101010102	0.0	1
1	100	TSPOAP1	0.010101010101010102	0.0	0.010101010101010102	0.0	3
1	100	SHANK1	0.0	0.0	0.0	0.0	3
1	100	PTPRU	0.0	0.0	0.0	0.0	2
1	100	ANXA5	0.010101010101010102	0.0	0.010101010101010102	0.0	7
1	100	EGFR	0.010101010101010102	0.0	0.010101010101010102	0.0	6
1	100	TXNIP	0.010101010101010102	0.0	0.010101010101010102	0.0	0
1	100	PRUNE2	0.010101010101010102	0.0013399299113584827	0.010101010101010102	0.002886002886002886	0
1	100	NOS1	0.0	0.0	0.0	0.0	2
1	100	NPTX2	0.0	0.0	0.0	0.0	3
1	100	F2R	0.0	0.0	0.0	0.0	0
1	100	WHRN	0.0	0.0	0.0	0.0	5
1	100	SUN2	0.010101010101010102	0.0	0.010101010101010102	0.0	1
1	100	LAMA4	0.0	0.0	0.0	0.0	0
1	100	FAM131B	0.0	0.0	0.0	0.0	1
1	100	EIF3E	0.0	0.0	0.0	0.0	6
1	100	SEMA5B	0.0	0.0	0.0	0.0	3
1	100	NES	0.0	0.0	0.0	0.0	3
1	100	FBLN1	0.0	0.0	0.0	0.0	1
1	100	GRIA4	0.0	0.0	0.0	0.0	4
1	100	PGM2L1	0.010101010101010102	0.0	0.010101010101010102	0.0	0
1	152	SERPINF1	0.026490066225165563	0.002295805739514349	0.026490066225165563	0.013024282560706401	0
1	152	CROCC2	0.039735099337748346	0.003620309050772627	0.039735099337748346	0.038852097130242826	0
1	152	C1QTNF12	0.046357615894039736	0.000750551876379691	0.09271523178807947	0.09562913907284769	3
1	152	HSPA12A	0.059602649006622516	0.0030905077262693157	0.07947019867549669	0.08282560706401766	1
1	152	TMEM52	0.059602649006622516	0.0009271523178807947	0.059602649006622516	0.017350993377483442	3
1	152	OTOF	0.046357615894039736	0.0025607064017660044	0.059602649006622516	0.13090507726269315	3
1	152	MT1F	0.019867549668874173	0.0012803532008830022	0.033112582781456956	0.2056953642384106	5
1	152	FKBP4	0.046357615894039736	0.0023399558498896247	0.052980132450331126	0.04966887417218543	5
1	152	ANOS1	0.033112582781456956	0.002163355408388521	0.033112582781456956	0.004900662251655629	1
1	152	RGS3	0.006622516556291391	0.0	0.006622516556291391	0.09214128035320088	5
1	152	KANK4	0.006622516556291391	0.0	0.006622516556291391	0.0	5
